family;name;class;cap-diameter;cap-shape;Cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;Spore-print-color;habitat;season
Wax Gill Family;Parrot Wax Cap;p;[2, 4];[b, f];[t, w, d];[r, p, y];[f];[a];;[r, y];[4, 6];[4, 8];;[t];[r, y];;;[f];[f];;[g, m, d];[u, a]
Wax Gill Family;Herald of Winter;e;[3, 5];[x, f];[t];[n];[f];[d];;[o];[5, 7];[5, 10];;[t];[w, o];;;[f];[f];;[d];[a, w]
Russula Family;Common Yellow Russula;e;[4, 10];[x, f, s];;[y];[f];[a];[c];[w];[4, 8];[10, 20];;;[g,  w];;;[f];[f];;[d];[u, a, w]
Russula Family;Yellow-gilled Russula;e;[2, 6];[x];;[y];[f];[a];[c];[o, y];[2, 6];[6, 12];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Yellow Swamp Russula;e;[4, 10];[x];[h, t];[y];[t];[x];[c];[y];[5, 10];[10, 20];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Geranium-scented Russula;p;[4, 10];[x, f, s];[t];[n, y];[f];[x];[c];[y];[3, 8];[10, 20];;;[y];;;[f];[f];;[d];[a]
Russula Family;Stinking Russula;p;[6, 15];[x];[t];[n];[f];[a];[d];[w];[6, 15];[20, 40];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Fragile Russula;p;[2, 6];[f, s];;[u];[f];[a];;[w];[3, 6];[5, 10];;;[w, y];;;[f];[f];;[d];[u, a]
Russula Family;Birch Russula;p;[2, 6];[x, f];;[b, p, e, y];[f];[x];;[w];[3, 7];[5, 8];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Bare-toothed Russula;e;[5, 10];[x, f];;[n, p, e];[f];[x];[c];[w];[4, 10];[10, 25];;[s];[w];;;[f];[f];;[d];[u, a]
Russula Family;The Charcoal Burner;e;[5, 15];[x];[e];[l, y];[f];[x];[c];[w];[5, 10];[10, 30];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Blackish Purple Russula;e;[4, 12];[x, f];[s];[u, k];[f];[a];[c];[w];[3, 6];[10, 20];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Blackening Russula;e;[8, 25];[x, f, s];[s, t];[k, n, w];[f];[a];[d];[y, k];[4, 10];[15, 30];;;[w];;;[f];[f];[w];[d];[u, a, w]
Russula Family;The Sickener;p;[5, 10];[x, f];[h, t];[e];[f];[x];[d];[w];[4, 8];[15, 20];[b];;[w];;;[f];[f];;[d];[u, a]
Russula Family;Beechwood Sickener;p;[3, 7];[x];;[e, p, w];[f];;[c];[g, r, w];[2, 5];[10, 15];;;[y];;;[f];[f];;[d];[a]
Russula Family;Crab-scented Russula;e;[7, 15];[x, f, s];[s];[n, r, u, y];[f];[x];;[n];[4, 10];[15, 30];;;[n, p, w];;;[f];[f];;[d];[u, a, w]
Russula Family;Grass-green Russula;p;[5, 10];[f];;[r, y];[f];[x];[c];[y, n];[5, 8];[8, 15];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Peppery Milk Cap;e;[8, 15];[s];;[w];[t];[d];[c];[w, p, y];[4, 8];[20, 30];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Fleecy Milk Cap;p;[10, 25];[x, f, s];[k];[w];[t];[d];[d];[w, n];[4, 10];[20, 40];;;[w];;;[f];[f];;[d];[u, a, w]
Russula Family;Oak Milk Cap;p;[4, 9];[x, s];[d];[n, e];[t];[d];[c];[n, w];[4, 10];[6, 12];;;[e, n];;;[f];[f];;[d];[a]
Russula Family;Slimy Milk Cap;p;[5, 10];[s];[h, t];[g, r, n];[t];[d];;[w, g];[4, 5];[10, 15];;[t];[g, r, n];;;[f];[f];;[d];[u, a]
Russula Family;Ugly Milk Cap;p;[7, 20];[x, f, s];[t];[g, r, k, n];[t];[d];[c];[w, b, n];[4, 6];[20, 30];;;[g, r, n];;;[f];[f];;[g, l, d];[u, a]
Russula Family;Rufous Milk Cap;p;[4, 10];[f, s];[d];[n, e];[t];[d];[c];[y, w];[4, 8];[6, 12];;;[n, e];;;[f];[f];;[d];[u, a]
Russula Family;Sweet Milk Cap;p;[3, 8];[s];;[e, n];[t];[d];[c];[b, p, w];[4, 8];[4, 8];;;[e, n];;;[f];[f];;[d];[u, a]
Russula Family;Small Brown Milk Cap;p;[2, 4];[f, s];[w];[n, o];[t];[d];[c];[n, y];[2, 5];[4, 8];;;[n];;;[f];[f];;[d];[u, a]
Russula Family;Coconut-scented Milk Cap;e;[2, 5];[f, s];[d];[g, u, n, p];[t];[d];[c];[p];[3, 6];[4, 8];;;[g, n];;;[f];[f];;[d];[u, a]
Russula Family;Woolly Milk Cap;p;[6, 12];[s];[t];[p];[t];[d];[c];[p];[6, 10];[10, 20];;;[p];;;[t];[f];;[d];[u, a]
Russula Family;Saffron Milk Cap;e;[5, 15];[s];[t];[w, p, o];[t];[d];[c];[o];[4, 8];[15, 20];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Spruce Milk Cap;p;[5, 12];[s];;[o, y, r];[t];[d];;[o];[3, 7];[10, 15];;;[w];;;[t];[f];;[d];[u, a]
Pluteus Family;Fawn Pluteus;e;[6, 12];[x];[s];[n];[f];[e];[c];[w, p];[4, 10];[8, 12];;[i];[w, n];;;[f];[f];[p];[d];[s, u, a, w]
Pluteus Family;Veined Pluteus;e;[4, 9];[x];[y];[n];[f];[e];[c];[p, w];[3, 8];[8, 12];;[y];[n];;;[f];[f];;[d];[u, a]
Entoloma Family;Silky Nolanea;p;[2, 5];[x, f];[k];[n, w];[f];[s];;[p];[3, 5];[2, 4];;;[n];;;[f];[f];[p];[g];[u, a]
Entoloma Family;Striated Nolanea;p;[3, 5];[b, f];[t];[n];[f];[x];[c];[p];[4, 8];[3, 6];;[i];[n, g];;;[f];[f];;[g, m, d];[u, a]
Entoloma Family;White Leptonia;p;[2, 4];[x, s];[d];[w];[f];[a, d];[d];[p, w];[2, 5];[2, 3];;[h];[w];;;[f];[f];;[g];[u, a]
Entoloma Family;Blue Leptonia;p;[1, 3];[x, f];[i];[l, k];[f];[a];;[p, w];[2, 6];[2, 3];;;[w];;;[f];[f];[p];[g];[u, a]
Entoloma Family;Livid Entoloma;p;[6, 18];[x];[s, h];[w, y, g, n];[f];[s];;[p, y];[5, 10];[15, 20];;[i];[n];;;[f];[f];;[d];[u, a]
Entoloma Family;The Miller;e;[4, 10];[x, s];[l];[w];[f];[d];;[p, w];[3, 4];[6, 12];;;[w];;;[f];[f];;[g, d];[u, a]
Entoloma Family;Apricot Fungus;p;[5, 10];[x, f];[w];[p];[f];[s];[c];[p];[3, 6];[8, 12];;;[p];;;[f];[f];;[d];[a, w]
Bolbitius Family;Egg Yolk Fungus;p;[1, 3];[c, f];[h, t];[y, n];[f];;;[y, n];[5, 10];[2, 4];;;[y];;;[f];[f];;[g];[u, a]
Bolbitius Family;Brown Bell Cap;p;[1, 3];[b];[g];[n, o, y, w];[f];;[c];[n];[4, 8];[2, 4];;;[n];;;[f];[f];;[g, m, d];[s, u, a]
Bolbitius Family;Spring Agaric;e;[3, 6];[x];;[n, w];[f];[x];[c];[w, n];[7, 9];[6, 12];[b];;[n, w];;[w];[t];;;[g, d];[s, u, a]
Stropharia Family;Shaggy Pholiota;p;[4, 12];[x];[y];[y, n];[f];[a];[c];[y, n];[6, 15];[7, 15];;[y];[y, n];;;[t];;;[d];[u, a]
Stropharia Family;Charcoal Pholiota;p;[2, 6];[x];[h, t];[n, o];[f];[a];[c];[n];[3, 6];[4, 8];;[y];[n, o];;;[t];[z];;[d];[a, w]
Stropharia Family;Brown Stew Fungus;e;[3, 8];[x];[h];[n];[f];[x];[c];[w, n];[3, 8];[4, 8];;[y, s];[n];;;[t];[r];;[d];[s, u, a, w]
Stropharia Family;Sulphur Tuft;p;[2, 6];[b, x];[s];[y];[f];;[c];[y, r, k];[5, 12];[5, 10];;;[y];[u];[w];[t];[z];[k, r];[d];[s, u, a, w]
Stropharia Family;Brick Caps;p;[4, 8];[x];[e];[e];[f];[a];;[w, y, g, n];[6, 10];[8, 12];;;[y, e, n];;[w];[t];[z];;[d];[a]
Stropharia Family;Verdigris Toadstool;p;[2, 6];[b, x];[h, t, y];[r, l];[f];[s];[c];[g, n, u];[4, 8];[5, 10];;[y];[w, l, n];;;[t];[e];[k, u];[g, m, d];[u, a]
Stropharia Family;Dung Roundhead;p;[1, 3];[p];[t];[n];[f];[a];[c];[g, n];[4, 10];[2, 3];;[t];[y];;;[t];[e];;[m];[s, u, a]
Stropharia Family;Magic Mushroom;p;[0.5, 1.5];[b];[t];[n, y];[f];;[c];[g, k];[2, 5];[2, 3];;;[n];;;[t];[f];;[g, m];[u, a]
Cortinarius Family;Red-banded Cortinarius;p;[6, 12];[x];[i, e];[n];[f];[a];;[n];[6, 15];[10, 20];[s];;[n];;[e, n];[f];[f];;[d, h];[a]
Cortinarius Family;Purple Cortinarius;p;[5, 12];[x];;[g, u, n];[t];[x];;[n, u];[6, 12];[15, 25];[s];;[g, u, n];;[u];[f];[f];;[d];[a]
Cortinarius Family;Blood-red Cortinarius;p;[2, 5];[x];[i];[e];[f];;;[e];[3, 6];[3, 8];;;[e];;;[f];[f];[n];[d];[a]
Cortinarius Family;Red-staining Inocybe;p;[3, 8];[c];[k, e];[w, y];[t];[x];[c];[p, y, r];[3, 10];[10, 15];;;[w];;;[f];[f];;[g, d];[s, u, a]
Cortinarius Family;Straw-coloured Inocybe;p;[3, 7];[c];[i];[y];[f];;[c];[n, r];[5, 8];[5, 10];;;[w];;;[f];[f];;[d];[u, a]
Cortinarius Family;Common White Inocybe;p;[1, 4];[c, f];;[w, u];[f];[a];[c];[w, n];[2, 5];[3, 4];;[i];[w, u];;;[f];[f];;[p, d];[u, a]
Cortinarius Family;Poison Pie;p;[4, 10];[x];[s, t];[n];[f];[s];;[g, n];[4, 7];[5, 10];;[y];[n];;;[f];[f];;[d];[a, w]
Cortinarius Family;Dark-centred Hebeloma;p;[2, 5];[x];[t];[n];[f];[s];[c];[n, p];[4, 7];[5, 12];;;[w];;[n];[t];[z];;[d];[u, a]
Cortinarius Family;Rusty Wood Rotter;p;[4, 8];[b, x, f];[d, k];[n];[f];[a, d];[c];[y, n];[4, 7];[5, 8];;[i];[y, n];;;[t];;;[d];[u, a]
Cortinarius Family;Spectacular Gymnopile;p;[6, 15];[x];[d, e, y, i];[y, o];[f];[a];;[o, y];[6, 18];[15, 30];[r];;[o, y];;;[t];[r];[n];[d];[u, a, w]
Cortinarius Family;Moss Pixy Cap;p;[1, 2];[b];[h];[n];[f];[a];;[n];[3, 6];[1, 2];;[t];[n];;;[f];[f];;[g, h, d];[s, u, a]
Mushroom Family;Field Mushroom;e;[3, 10];[p, x, f];[s, y];[w];[f];[e];[c];[p, n, k];[3, 7];[10, 15];;;[w];;[w];[t];[e];;[g, m];[u, a]
Mushroom Family;Cultivated Mushroom;e;[3, 10];[f, x];[i, y];[n];[f];[e];[c];[p, n];[3, 6];[10, 15];;;[w];;;[t];[l, r];;[w];[u, a]
Mushroom Family;Horse Mushroom;e;[5, 20];[p, x, f];[s];[w, n];[t];[e];;[g, n];[5, 15];[15, 20];[s];;[w];;;[t];[l, r];;[m];[u, a]
Mushroom Family;Yellow-staining Mushroom;p;[5, 10];[x];[y];[w];[t];;;[w, g, p, n];[6, 10];[10, 18];[s];;[w];;;[t];[l];;[g, d];[u, a]
Mushroom Family;Bleeding Brown Mushroom;e;[8, 12];[p, x];[i, y];[n];[t];[e];;[p];[8, 10];[15, 20];;[y];[w];;;[t];[l, p];;[l, d];[a]
Ink Cap Family;Shaggy Ink Cap;e;[5, 15];[p, f];[y, s];[w];[f];[e];[c];[k, p, w];[8, 30];[10, 15];;[s];[w];;;[t];[e];;[g, u, d];[s, u, a, w]
Ink Cap Family;Common Ink Cap;p;[4, 8];[p, b];[s, y];[g, n];[f];;;[w, g, k];[5, 15];[10, 15];;[s];[w];;;[t];[z];;[g, d];[s, u, a, w]
Ink Cap Family;Magpie Ink Cap;p;[6, 10];[p, b];[y];[w, n];[f];;;[k, p];[10, 20];[15, 20];;;[w];;;[f];[f];;[d];[a]
Ink Cap Family;Rusty Carpet Ink Cap;p;[2, 5];[b];[y];[n];[f];;[c];[w, g, u];[4, 8];[4, 5];[s];[s];[w];;;[f];[f];;[d];[u, a]
Ink Cap Family;Glistening Ink Cap;e;[2, 4];[b];[y];[n];[f];;[c];[k, n];[5, 8];[2, 4];;;[w];;;[f];[f];;[d];[s, u, a, w]
Ink Cap Family;Fairies' Bonnets;e;[0.5, 1.5];[p, b];[g];[w, g];[f];;;[g];[2, 4];[1, 2];;;[w];;;[f];[f];;[d];[s, u, a, w]
Ink Cap Family;Fairy Parasol;e;[1, 2];[x, f];[w];[n, g];[f];;[d];[g, k];[4, 6];[2, 3];;;[w];;;[f];[f];;[g, d];[s, u, a, w]
Ink Cap Family;Common Crumble Cap;e;[3, 6];[x, f];;[n, y, w];[f];[x];[c];[w, u, g, n];[5, 8];[3, 5];;;[w];;;[f];[f];;[d];[u, a]
Ink Cap Family;Two-toned Crumble Cap;e;[2, 5];[x, f];[h];[n];[f];;[c];[k, n];[4, 8];[5, 8];;[s];[w];;[w];[f];[f];[k];[d];[u, a]
Ink Cap Family;Hay Cap;p;[1, 2];[x];;[n];[f];;;[k, n];[4, 6];[2, 3];;[s];[n];;;[f];[f];[k];[g];[u, a]
Ink Cap Family;Petticoat Fungus;p;[2, 4];[b];;[g, n, k];[f];[a];;[k, n];[6, 12];[2, 3];;;[g, n];;[w];[f];[f];[k];[g];[u, a]
Ink Cap Family;Egg-shell Toadstool;p;[2, 6];[b];[t, h];[n];[f];;;[k, n];[5, 15];[4, 8];;;[w];;;[t];;[k];[g];[u, a, w]
Ink Cap Family;Weeping Widow;p;[5, 10];[x];[i];[n, y];[f];[a];[c];[k, n];[6, 10];[6, 10];;[i];[n];;[k];[t];[z];[k];[g, d];[u, a]
Bolete Family;Cep;e;[8, 30];[x, p];[w, t];[n];[f];[p];;[w, y];[8, 25];[40, 100];;;[n];;;[f];[f];;[d];[u, a]
Bolete Family;Bay Bolete;e;[7, 15];[x];[h, t];[n];[t];[p];;[y];[5, 12];[20, 25];;;[n];;;[f];[f];;[d];[u, a]
Bolete Family;Red-cracked Bolete;e;[5, 10];[x];[d];[n, y, e];[t];[p];;[y, r];[4, 8];[10, 15];;;[e, y];;;[f];[f];;[d];[u, a]
Bolete Family;Yellow-cracked Bolete;e;[3, 10];[x];[d];[n, y];[t];[p];;[y];[4, 10];[10, 20];;;[y];;;[f];[f];;[d];[u, a]
Bolete Family;Dotted-stemmed Bolete;p;[8, 20];[x];[e, k, s, h];[n];[t];[p];;[y, o, e];[6, 12];[20, 40];[c];;[y];;;[f];[f];;[d];[u, a]
Bolete Family;Lurid Bolete;p;[8, 14];[x];[e];[n, y];[t];[p];;[o, e];[5, 12];[15, 40];;;[u, e];;;[f];[f];;[d];[u, a]
Bolete Family;Parasitic Bolete;e;[2, 5];[x];[d, k];[n];[f];[p];;[y, e, n];[3, 6];[8, 12];;;[n, y];;;[f];[f];;[d];[a]
Bolete Family;Bitter Bolete;p;[5, 14];[x, p];;[n];[f];[p];;[w, p];[6, 14];[20, 40];[c];;[n];;;[f];[f];[p, w];[d];[u, a]
Bolete Family;Peppery Bolete;e;[3, 6];[x];[s, t];[n, o];[f];[p];;[n];[3, 8];[8, 15];;;[e, n];;;[f];[f];;[d];[u, a]
Bolete Family;Orange Birch Bolete;e;[12, 25];[p, x];[d];[n, o, e];[f];[p];;[w, n];[12, 20];[30, 40];[s];[y];[w];;;[f];[f];;[d];[u, a]
Bolete Family;Brown Birch Bolete;e;[5, 10];[x];;[g, n];[t];[p];;[g];[8, 15];[20, 30];;[y];[w];;;[f];[f];;[d];[u, a]
Bolete Family;Larch Bolete;e;[4, 12];[x];[t, h];[y];[f];[p];;[y];[5, 10];[12, 18];;;[y];;[y];[t];;;[d];[u, a]
Bolete Family;Slippery Jack;e;[6, 12];[x];[t, h, s];[n];[t];[p];;[y, n];[5, 10];[15, 20];;;[n];;[w];[t];[p];;[d];[u, a]
Bolete Family;Shallow-pored Bolete;e;[4, 12];[x];[h, t];[n];[f];[p];[d];[y];[4, 10];[10, 15];;[s];[n];;;[f];[f];;[g, h, d];[u, a]
Paxillus Family;Brown Roll-rim;p;[7, 15];[x, f, s];[t];[r, n];[t];[d];[c];[n];[4, 8];[10, 20];;;[n];;;[f];[f];;[h, d];[u, a]
Paxillus Family;Velvet Roll-rim;p;[8, 25];[f, s];[d, k, s];[n];[f];[d];[c];[y];[4, 8];[20, 50];;[k];[k, n];;;[f];[f];;[d];[u, a]
